Namespace,Hash,Function Name,Parameters,Return Type,Description
AUDIO,0xD01005D2BA2EB778,ACTIVATE_AUDIO_SLOWMO_MODE,p0:char*,void,
AUDIO,0x153973AB99FE8980,ADD_ENTITY_TO_AUDIO_MIX_GROUP,"entity:Entity, groupName:char*, p2:float",void,"```
All found occurrences in b678d:
pastebin.com/ceu67jz8
```"
AUDIO,0x95D9F4BC443956E7,ADD_PED_TO_CONVERSATION,"index:int, ped:Ped, p2:char*",void,"```
4 calls in the b617d scripts. The only one with p0 and p2 in clear text:
AUDIO::ADD_PED_TO_CONVERSATION(5, l_AF, ""DINAPOLI"");
=================================================
One of the 2 calls in dialogue_handler.c p0 is in a while-loop, and so is determined to also possibly be 0 - 15.
```"
AUDIO,0xC5EF963405593646,ADD_LINE_TO_CONVERSATION,"index:int, p1:char*, p2:char*, p3:int, p4:int, p5:BOOL, p6:BOOL, p7:BOOL, p8:BOOL, p9:int, p10:BOOL, p11:BOOL, p12:BOOL",void,"```
NOTE: ones that are -1, 0 - 35 are determined by a function where it gets a TextLabel from a global then runs,
_GET_TEXT_SUBSTRING and depending on what the result is it goes in check order of 0 - 9 then A - Z then z (lowercase). So it will then return 0 - 35 or -1 if it's 'z'. The func to handle that ^^ is func_67 in dialog_handler.c atleast in TU27 Xbox360 scripts.
p0 is -1, 0 - 35
p1 is a char or string (whatever you wanna call it)
p2 is Global 10597 + i * 6. 'i' is a while(i < 70) loop
p3 is again -1, 0 - 35
p4 is again -1, 0 - 35
p5 is either 0 or 1 (bool ?)
p6 is either 0 or 1 (The func to determine this is bool)
p7 is either 0 or 1 (The func to determine this is bool)
p8 is either 0 or 1 (The func to determine this is bool)
p9 is 0 - 3 (Determined by func_60 in dialogue_handler.c)
p10 is either 0 or 1 (The func to determine this is bool)
p11 is either 0 or 1 (The func to determine this is bool)
p12 is unknown as in TU27 X360 scripts it only goes to p11.
```"
AUDIO,0x1B9025BDA76822B6,BLIP_SIREN,vehicle:Vehicle,void,"```
Plays the siren sound of a vehicle which is otherwise activated when fastly double-pressing the horn key.  
Only works on vehicles with a police siren.  
```"
AUDIO,0x845FFC3A4FEEFA3E,AUDIO_IS_SCRIPTED_MUSIC_PLAYING,,BOOL,
AUDIO,0x49B99BF3FDA89A7A,_CAN_PED_SPEAK,"ped:Ped, speechName:char*, unk:BOOL",BOOL,"```
Checks if the ped can play the speech or has the speech file, last parameter is usually 0  
```"
AUDIO,0xF154B8D1775B2DEC,BLOCK_DEATH_JINGLE,toggle:BOOL,void,
AUDIO,0x5B17A90291133DA5,CANCEL_MUSIC_EVENT,eventName:char*,BOOL,"```
All music event names found in the b617d scripts: pastebin.com/GnYt0R3P  
```"
AUDIO,0x120C48C614909FA4,CLEAR_AMBIENT_ZONE_LIST_STATE,"p0:Any*, p1:BOOL",void,
AUDIO,0xB4F90FAF7670B16F,_CANCEL_CURRENT_POLICE_REPORT,,void,
AUDIO,0xB32209EFFDC04913,CLEAR_ALL_BROKEN_GLASS,,void,
AUDIO,0x1654F24A88A8E3FE,CLEAR_CUSTOM_RADIO_TRACK_LIST,radioStation:char*,void,"```
3 calls in the b617d scripts, removed duplicate.
AUDIO::CLEAR_CUSTOM_RADIO_TRACK_LIST(""RADIO_16_SILVERLAKE"");
AUDIO::CLEAR_CUSTOM_RADIO_TRACK_LIST(""RADIO_01_CLASS_ROCK"");
```"
AUDIO,0xDDC635D5B3262C56,DEACTIVATE_AUDIO_SLOWMO_MODE,p0:char*,void,
AUDIO,0x218DD44AAAC964FF,CLEAR_AMBIENT_ZONE_STATE,"zoneName:char*, p1:BOOL",void,"```
This function also has a p2, unknown. Signature AUDIO::CLEAR_AMBIENT_ZONE_STATE(const char* zoneName, bool p1, Any p2);
Still needs more research.
```"
AUDIO,0xD2C91A0B572AAE56,CREATE_NEW_SCRIPTED_CONVERSATION,,void,
AUDIO,0x552369F549563AD5,DISTANT_COP_CAR_SIRENS,value:BOOL,void,"```
If value is set to true, and ambient siren sound will be played.
Appears to enable/disable an audio flag.
```"
AUDIO,0xA9A41C1E940FB0E8,DISABLE_PED_PAIN_AUDIO,"ped:Ped, toggle:BOOL",void,
AUDIO,0xC15907D667F7CFB2,ENABLE_STALL_WARNING_SOUNDS,"vehicle:Vehicle, toggle:BOOL",void,
AUDIO,0x109697E2FFBAC8A1,DOES_PLAYER_VEH_HAVE_RADIO,,BOOL,
AUDIO,0x8D67489793FF428B,FIND_RADIO_STATION_INDEX,stationNameHash:int,int,
AUDIO,0x2BE4BC731D039D5A,ENABLE_VEHICLE_EXHAUST_POPS,"vehicle:Vehicle, toggle:BOOL",void,Sets whether the vehicle passed has exhaust pops.
AUDIO,0x4E0AF9114608257C,_FORCE_RADIO_TRACK_LIST_POSITION,"radioStation:char*, trackListName:char*, milliseconds:int",void,"```
NativeDB Introduced: v2372
```"
AUDIO,0x4F0C413926060B38,_FORCE_VEHICLE_ENGINE_AUDIO,"vehicle:Vehicle, audioName:char*",void,"```
This native sets the audio of the specified vehicle to the audioName (p1).
Use the audioNameHash found in vehicles.meta
Example:
_SET_VEHICLE_AUDIO(veh, ""ADDER"");
The selected vehicle will now have the audio of the Adder.
FORCE_VEHICLE_???
```"
AUDIO,0x344F393B027E38C3,FREEZE_RADIO_STATION,radioStation:char*,void,
AUDIO,0xD57AAAE0E2214D11,FREEZE_MICROPHONE,,void,
AUDIO,0x50B196FC9ED6545B,GET_AUDIBLE_MUSIC_TRACK_TEXT_ID,,int,
AUDIO,0x34D66BC058019CE0,_GET_CURRENT_RADIO_TRACK_NAME,radioStationName:char*,Hash,"```
Return the hash of the radio stations current track.

NativeDB Introduced: v1493
```"
AUDIO,0x3E65CDE5215832C1,_GET_CURRENT_RADIO_TRACK_PLAYBACK_TIME,radioStationName:char*,int,"```
Return the playback time (in milliseconds) of the radio stations current track. 

NativeDB Introduced: v1493
```"
AUDIO,0x5E203DA2BA15D436,_GET_AMBIENT_VOICE_NAME_HASH,ped:Ped,Hash,
AUDIO,0xE73364DB90778FFA,GET_IS_PRELOADED_CONVERSATION_READY,,BOOL,
AUDIO,0x480357EE890C295A,GET_CURRENT_SCRIPTED_CONVERSATION_LINE,,int,
AUDIO,0xF1620ECB50E01DE7,GET_NUM_UNLOCKED_RADIO_STATIONS,,int,
AUDIO,0xE7A0D23DC414507B,GET_MUSIC_PLAYTIME,,int,
AUDIO,0xA571991A7FE6CCEB,GET_PLAYER_RADIO_STATION_GENRE,,int,
AUDIO,0x2DE3F0A134FFBC0D,GET_NETWORK_ID_FROM_SOUND_ID,soundId:int,int,"```
Could this be used alongside either,   
SET_NETWORK_ID_EXISTS_ON_ALL_MACHINES or _SET_NETWORK_ID_SYNC_TO_PLAYER to make it so other players can hear the sound while online? It'd be a bit troll-fun to be able to play the Zancudo UFO creepy sounds globally.  
```"
AUDIO,0xF6D733C32076AD03,GET_PLAYER_RADIO_STATION_NAME,,char*,"```
Returns active radio station name  
```"
AUDIO,0xE8AF77C4C06ADC93,GET_PLAYER_RADIO_STATION_INDEX,,int,"```
Returns 255 (radio off index) if the function fails.  
```"
AUDIO,0x430386FE9BF80B45,GET_SOUND_ID,,int,
AUDIO,0xB28ECA15046CA8B9,GET_RADIO_STATION_NAME,radioStation:int,char*,"```
Returns String with radio station name.  
```"
AUDIO,0x75262FD12D0A1C84,GET_SOUND_ID_FROM_NETWORK_ID,netId:int,int,Counterpart: [`GET_NETWORK_ID_FROM_SOUND_ID`](#\_0x2DE3F0A134FFBC0D).
AUDIO,0xACB5DCCA1EC76840,GET_VEHICLE_DEFAULT_HORN_IGNORE_MODS,vehicle:Vehicle,Hash,
AUDIO,0x4E72BBDBCA58A3DB,GET_STREAM_PLAY_TIME,,int,
AUDIO,0x544810ED9DB6BBE6,_HAS_MULTIPLAYER_AUDIO_DATA_LOADED,,BOOL,"```
HAS_*
```"
AUDIO,0x02165D55000219AC,GET_VEHICLE_DEFAULT_HORN,vehicle:Vehicle,Hash,"```
Returns hash of default vehicle horn  
Hash is stored in audVehicleAudioEntity  
```"
AUDIO,0x8F8C0E370AE62F5C,HINT_AMBIENT_AUDIO_BANK,"p0:Any, p1:Any",Any,"```
NativeDB Added Parameter 3: Any p2
```"
AUDIO,0xD53F3A29BCE2580E,_GET_VEHICLE_DEFAULT_HORN_VARIATION,vehicle:Vehicle,int,"```
NativeDB Introduced: v1365
```"
